epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,38334.6,2.06174,2.59293,3.48849,0.67583,0.38255,0.48513,0.31568,2.86227,3.94188,3.66561,0.00791744,0.00791744,0.00791744
93,38750.6,2.05303,2.58138,3.47778,0.68666,0.38923,0.48992,0.31887,2.85601,3.93407,3.66249,0.00787503,0.00787503,0.00787503
94,39167.6,2.05418,2.56058,3.48616,0.69138,0.39418,0.49479,0.32231,2.84805,3.92294,3.6596,0.00783231,0.00783231,0.00783231
95,39583.9,2.04751,2.55356,3.47475,0.69424,0.39524,0.49802,0.3243,2.84073,3.91233,3.65026,0.00778929,0.00778929,0.00778929
96,40001.6,2.04164,2.53524,3.46907,0.69858,0.40576,0.50014,0.3258,2.83528,3.89574,3.64323,0.00774596,0.00774596,0.00774596
97,40420,2.0504,2.51283,3.46717,0.69411,0.40767,0.50542,0.33032,2.82785,3.87518,3.6356,0.00770234,0.00770234,0.00770234
98,40837.8,2.0463,2.49767,3.45903,0.7029,0.4096,0.50901,0.33373,2.82336,3.86048,3.63009,0.00765843,0.00765843,0.00765843
99,41254.6,2.04513,2.4893,3.46161,0.71193,0.41734,0.5126,0.33649,2.82118,3.84675,3.62413,0.00761423,0.00761423,0.00761423
100,41671.6,2.03841,2.46956,3.4569,0.71458,0.42277,0.5156,0.33895,2.81556,3.82865,3.6171,0.00756976,0.00756976,0.00756976
101,42088.7,2.03554,2.4442,3.4425,0.71319,0.42501,0.52048,0.34237,2.81552,3.80924,3.61034,0.007525,0.007525,0.007525
102,42507.1,2.02684,2.43788,3.43428,0.7182,0.42537,0.52508,0.34619,2.80517,3.80472,3.6056,0.00747997,0.00747997,0.00747997
103,42924.1,2.03202,2.40468,3.43861,0.71664,0.42893,0.52837,0.34878,2.80403,3.7857,3.60447,0.00743468,0.00743468,0.00743468
104,43340.6,2.02911,2.40177,3.43601,0.71781,0.43,0.52994,0.34966,2.80781,3.7679,3.60252,0.00738913,0.00738913,0.00738913
105,43756.9,2.0116,2.3942,3.41476,0.71663,0.43106,0.53356,0.35193,2.79801,3.75689,3.59567,0.00734332,0.00734332,0.00734332
106,44173.4,2.02225,2.36767,3.42475,0.72368,0.43175,0.53723,0.35506,2.79229,3.74269,3.59054,0.00729725,0.00729725,0.00729725
107,44588.6,2.00156,2.344,3.40244,0.71979,0.43563,0.53903,0.35686,2.78896,3.72242,3.58455,0.00725094,0.00725094,0.00725094
108,45005.4,2.00282,2.31843,3.40234,0.70464,0.43844,0.54006,0.35765,2.78816,3.7002,3.58071,0.00720439,0.00720439,0.00720439
109,45421.7,1.99417,2.32402,3.39903,0.70874,0.44055,0.54168,0.35939,2.77788,3.6877,3.57231,0.00715761,0.00715761,0.00715761
110,45837.2,1.99346,2.29485,3.39576,0.7196,0.43904,0.54425,0.36075,2.77385,3.67118,3.56715,0.00711059,0.00711059,0.00711059
111,46253.3,1.98789,2.29495,3.38324,0.71412,0.44285,0.54799,0.36304,2.7675,3.66042,3.55915,0.00706335,0.00706335,0.00706335
112,46670.2,1.9927,2.27871,3.38658,0.71555,0.44269,0.55122,0.36555,2.76271,3.64532,3.55118,0.00701588,0.00701588,0.00701588
113,47088.3,1.98275,2.26709,3.38364,0.72332,0.44728,0.55412,0.36755,2.75993,3.6233,3.54679,0.0069682,0.0069682,0.0069682
114,47505.3,1.97368,2.24786,3.3715,0.72658,0.45308,0.5587,0.37136,2.75242,3.60792,3.53819,0.00692031,0.00692031,0.00692031
115,47922.5,1.98069,2.22997,3.36868,0.73355,0.45725,0.56344,0.37539,2.74768,3.59042,3.53375,0.00687222,0.00687222,0.00687222
116,48339.9,1.97541,2.20906,3.36419,0.73732,0.46108,0.56536,0.37639,2.74286,3.57235,3.52706,0.00682392,0.00682392,0.00682392
117,48757.9,1.97712,2.21999,3.36516,0.73794,0.45774,0.56652,0.37786,2.73783,3.56256,3.52227,0.00677543,0.00677543,0.00677543
118,49176.2,1.96616,2.19321,3.35958,0.73901,0.46375,0.56889,0.38059,2.7336,3.54384,3.51895,0.00672675,0.00672675,0.00672675
119,49593.6,1.96853,2.19557,3.35087,0.74277,0.46595,0.57358,0.38285,2.72995,3.53276,3.51163,0.00667789,0.00667789,0.00667789
120,50011.2,1.96734,2.16996,3.34811,0.7413,0.47153,0.57415,0.38317,2.72756,3.5134,3.50564,0.00662885,0.00662885,0.00662885
121,50428.2,1.95785,2.15547,3.33825,0.74151,0.47257,0.57718,0.38488,2.72121,3.49794,3.50034,0.00657963,0.00657963,0.00657963
122,50844.9,1.96682,2.15059,3.34535,0.73967,0.47664,0.58032,0.38827,2.71681,3.48032,3.49604,0.00653025,0.00653025,0.00653025
