epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,26956.7,2.00536,2.32507,3.41293,0.6801,0.41752,0.52144,0.34382,2.74608,3.77519,3.54322,0.00761423,0.00761423,0.00761423
100,27378.7,2.0049,2.2823,3.41496,0.68439,0.41944,0.52725,0.34826,2.7402,3.75264,3.5407,0.00756976,0.00756976,0.00756976
101,27800.2,1.98999,2.29394,3.40371,0.69042,0.42097,0.53478,0.3529,2.7331,3.73411,3.53231,0.007525,0.007525,0.007525
102,28220.8,1.99083,2.27479,3.39737,0.69217,0.43087,0.54042,0.35596,2.73063,3.71279,3.52723,0.00747997,0.00747997,0.00747997
103,28640.9,1.99226,2.23796,3.39048,0.69589,0.43773,0.54589,0.35967,2.72465,3.69405,3.52166,0.00743468,0.00743468,0.00743468
104,29061.6,1.97116,2.22148,3.37159,0.70079,0.44283,0.55095,0.36361,2.72211,3.67251,3.51683,0.00738913,0.00738913,0.00738913
105,29480.8,1.98612,2.22478,3.39025,0.6988,0.446,0.55645,0.36744,2.71875,3.64569,3.51144,0.00734332,0.00734332,0.00734332
106,29900.5,1.96429,2.2024,3.36905,0.70319,0.44938,0.56131,0.37086,2.72116,3.61755,3.51129,0.00729725,0.00729725,0.00729725
107,30321.7,1.97485,2.19008,3.3731,0.70915,0.45523,0.56555,0.37295,2.71896,3.59296,3.50818,0.00725094,0.00725094,0.00725094
108,30741.9,1.96595,2.17524,3.35771,0.71464,0.46259,0.57024,0.37722,2.71259,3.57225,3.50172,0.00720439,0.00720439,0.00720439
109,31160.9,1.97732,2.15853,3.36803,0.7138,0.46508,0.57407,0.37998,2.71099,3.55172,3.49603,0.00715761,0.00715761,0.00715761
110,31580.2,1.96363,2.14814,3.35479,0.71156,0.47035,0.57939,0.38352,2.71035,3.52989,3.49408,0.00711059,0.00711059,0.00711059
111,31999.9,1.95274,2.14116,3.34501,0.71562,0.47804,0.58252,0.38637,2.70526,3.52409,3.48826,0.00706335,0.00706335,0.00706335
112,32419.2,1.95305,2.1145,3.34483,0.70868,0.47743,0.58453,0.38747,2.70876,3.4966,3.48684,0.00701588,0.00701588,0.00701588
113,32838.8,1.95382,2.0866,3.33973,0.71953,0.48404,0.58783,0.38927,2.70813,3.47332,3.48365,0.0069682,0.0069682,0.0069682
114,33258.1,1.9389,2.08124,3.32421,0.72997,0.48609,0.59113,0.39053,2.70997,3.45202,3.48058,0.00692031,0.00692031,0.00692031
115,33677.9,1.94307,2.05427,3.3339,0.72795,0.48684,0.59481,0.39341,2.70981,3.43965,3.47658,0.00687222,0.00687222,0.00687222
116,34098,1.94525,2.0657,3.33256,0.73366,0.48795,0.59749,0.39506,2.70847,3.42114,3.47388,0.00682392,0.00682392,0.00682392
117,34517.4,1.93538,2.05153,3.32016,0.73808,0.49345,0.60175,0.39814,2.70906,3.40314,3.47502,0.00677543,0.00677543,0.00677543
118,34936.9,1.92609,2.03265,3.31726,0.74352,0.49962,0.60658,0.40172,2.70578,3.39333,3.47236,0.00672675,0.00672675,0.00672675
119,35356.8,1.92472,2.0323,3.31092,0.74255,0.50491,0.60962,0.4038,2.7032,3.37389,3.4708,0.00667789,0.00667789,0.00667789
120,35776.2,1.93315,2.0208,3.30628,0.74239,0.50976,0.61299,0.40544,2.70366,3.36076,3.4695,0.00662885,0.00662885,0.00662885
121,36196.8,1.91935,2.02197,3.30317,0.74611,0.50913,0.61467,0.40647,2.70306,3.34753,3.46524,0.00657963,0.00657963,0.00657963
122,36618.1,1.92156,2.01413,3.30339,0.73916,0.51453,0.61833,0.40937,2.70622,3.32096,3.46335,0.00653025,0.00653025,0.00653025
123,37039.6,1.92153,1.99314,3.31098,0.74304,0.51747,0.62076,0.41086,2.69998,3.30662,3.45663,0.00648071,0.00648071,0.00648071
124,37461.2,1.91059,1.99414,3.29326,0.74644,0.51361,0.62443,0.41296,2.69645,3.28454,3.44982,0.00643101,0.00643101,0.00643101
125,37881.2,1.90997,1.97119,3.27508,0.75237,0.51507,0.62842,0.41653,2.69466,3.26377,3.44534,0.00638115,0.00638115,0.00638115
126,38302.2,1.91591,1.93988,3.2802,0.74867,0.52134,0.63113,0.41885,2.69515,3.23858,3.43901,0.00633115,0.00633115,0.00633115
127,38724,1.90697,1.94067,3.27245,0.76043,0.53059,0.63497,0.4202,2.69444,3.20912,3.42924,0.00628101,0.00628101,0.00628101
128,39145.3,1.90498,1.95023,3.27868,0.75827,0.53466,0.63669,0.42064,2.69335,3.19047,3.42371,0.00623074,0.00623074,0.00623074
129,39565.9,1.89272,1.9088,3.26289,0.76173,0.53269,0.64018,0.42387,2.68699,3.18174,3.42049,0.00618034,0.00618034,0.00618034
130,39991,1.88735,1.89584,3.25248,0.7695,0.5352,0.64597,0.42746,2.67885,3.15902,3.41576,0.00612981,0.00612981,0.00612981
131,40413.1,1.88363,1.87118,3.25071,0.76858,0.5414,0.64994,0.42907,2.67696,3.14153,3.4107,0.00607916,0.00607916,0.00607916
132,40834.3,1.86768,1.8496,3.23405,0.76668,0.54154,0.65405,0.43185,2.67899,3.11683,3.40922,0.0060284,0.0060284,0.0060284
133,41255.8,1.8756,1.83917,3.23094,0.77792,0.54102,0.65786,0.43395,2.678,3.09774,3.4054,0.00597754,0.00597754,0.00597754
134,41676.7,1.86977,1.81988,3.22822,0.77526,0.54679,0.66029,0.43721,2.67187,3.0808,3.39974,0.00592657,0.00592657,0.00592657
135,42096.7,1.86528,1.8153,3.22615,0.76819,0.55124,0.66253,0.43884,2.66523,3.06687,3.39268,0.00587551,0.00587551,0.00587551
136,42517.5,1.85698,1.80219,3.21429,0.76366,0.55508,0.66429,0.43984,2.66161,3.06115,3.38666,0.00582435,0.00582435,0.00582435
137,42939.1,1.85328,1.78066,3.20244,0.76989,0.55489,0.66847,0.44275,2.65873,3.03842,3.38235,0.00577311,0.00577311,0.00577311
138,43360.7,1.85668,1.77974,3.2001,0.77314,0.56069,0.6724,0.44503,2.65492,3.01853,3.37761,0.00572179,0.00572179,0.00572179
139,43805,1.84096,1.74254,3.19613,0.77788,0.56285,0.67629,0.44668,2.65275,3.0033,3.37295,0.0056704,0.0056704,0.0056704
140,44249.2,1.8424,1.74584,3.19419,0.77792,0.56414,0.67732,0.44698,2.65014,2.99191,3.36731,0.00561894,0.00561894,0.00561894
141,44693.2,1.84041,1.71846,3.19111,0.7759,0.57214,0.67738,0.44763,2.63901,2.99135,3.36253,0.00556742,0.00556742,0.00556742
142,45137.2,1.83399,1.71251,3.18208,0.77888,0.57348,0.67997,0.44924,2.63205,2.9779,3.35675,0.00551584,0.00551584,0.00551584
143,45580.4,1.83468,1.70302,3.1772,0.78503,0.57642,0.68327,0.45154,2.63078,2.96098,3.35308,0.00546421,0.00546421,0.00546421
144,46023.7,1.82572,1.69902,3.16496,0.78637,0.5803,0.68635,0.45346,2.62692,2.9461,3.34618,0.00541253,0.00541253,0.00541253
145,46468.6,1.82717,1.67595,3.17472,0.78105,0.58036,0.68747,0.45452,2.62572,2.93553,3.34518,0.00536081,0.00536081,0.00536081
146,46912.5,1.82786,1.6954,3.17226,0.78938,0.58338,0.69021,0.45616,2.6247,2.91754,3.34384,0.00530906,0.00530906,0.00530906
147,47356.4,1.83222,1.6813,3.17475,0.79152,0.58249,0.69226,0.45747,2.62353,2.90299,3.34162,0.00525728,0.00525728,0.00525728
148,47800,1.82015,1.67481,3.17404,0.78291,0.58426,0.69602,0.4607,2.62939,2.88156,3.33959,0.00520548,0.00520548,0.00520548
149,48243.8,1.81588,1.65486,3.15598,0.78743,0.59645,0.69941,0.46302,2.62557,2.86656,3.33125,0.00515366,0.00515366,0.00515366
150,48686.7,1.81692,1.64419,3.15903,0.78222,0.5899,0.69954,0.46284,2.62366,2.85172,3.32878,0.00510184,0.00510184,0.00510184
151,49130,1.80509,1.64966,3.14518,0.78434,0.59148,0.70097,0.46371,2.61909,2.84543,3.32238,0.00505,0.00505,0.00505
152,49570.8,1.8031,1.66221,3.14732,0.78914,0.58951,0.70529,0.46817,2.61833,2.82344,3.31842,0.00499816,0.00499816,0.00499816
